,i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source
23,206.51781160016364,0.7280668855109163,Enzyme,20230510,pa,1.0,1,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
24,203.58122583298965,0.7472073144970199,Enzyme,20230510,pa,1.0,1,4,1,1.0,0.0,yes,../../Glycocalyx_frap/20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
25,210.1501192924713,0.6643763211703657,Enzyme,20230510,pa,1.0,1,5,1,1.0,0.0,yes,../../Glycocalyx_frap/20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
26,218.56562731386165,0.7308792531556545,Enzyme,20230510,pa,1.0,1,6,1,1.0,0.0,yes,../../Glycocalyx_frap/20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
27,200.02789798436768,0.81638694104522,Enzyme,20230510,pa,1.0,1,7,1,1.0,0.0,yes,../../Glycocalyx_frap/20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
28,116.80969422734076,0.6762292129758807,Enzyme,20230511,pa,1.0,1,0,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
29,113.07080213903694,0.6021413813485887,Enzyme,20230511,pa,1.0,1,1,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
30,104.57888111888066,0.6782556696585571,Enzyme,20230511,pa,1.0,1,2,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
31,103.28805429864208,0.7340872718120117,Enzyme,20230511,pa,1.0,1,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
32,100.2403126285475,0.7848380348306048,Enzyme,20230511,pa,1.0,1,4,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
33,100.24209790209744,0.7513148912831076,Enzyme,20230511,pa,1.0,1,5,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
34,101.50196626902468,0.7531579875824663,Enzyme,20230511,pa,1.0,1,6,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
35,100.298116001645,0.7257564059564743,Enzyme,20230511,pa,1.0,1,7,1,1.0,0.0,yes,../../Glycocalyx_frap/20230511_Glx_B6_HAse/20230511_mouseb6_vtyppa_loc1_roi1_rep1_noterecovery.nc
36,374.5419031948428,0.5613934048675215,Saline,20230512,pa,2.0,1,0,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
37,387.4366639243093,0.6149840740482837,Saline,20230512,pa,2.0,1,1,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
38,390.74205265322746,0.5875102193259654,Saline,20230512,pa,2.0,1,2,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
39,371.5242780748648,0.5570751781043057,Saline,20230512,pa,2.0,1,3,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
40,358.258148909912,0.6834159534671311,Saline,20230512,pa,2.0,1,4,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
41,370.8137679967076,0.5734582525288658,Saline,20230512,pa,2.0,1,5,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
42,359.83615384615234,0.5726203533822343,Saline,20230512,pa,2.0,1,6,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
43,339.37688605511994,0.6911878817442005,Saline,20230512,pa,2.0,1,7,1,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep1_noterecovery.nc
44,276.24727364139005,0.5711811303578251,Saline,20230512,pa,2.0,1,0,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
45,290.8539819004511,0.7535747204519723,Saline,20230512,pa,2.0,1,1,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
46,297.60610859728376,0.7536416340460708,Saline,20230512,pa,2.0,1,2,2,1.0,0.0,yes,../../Glycocalyx_frap/20230512_Glx_B6_HAse/20230512_mouseb6_vtyppa_loc2_roi1_rep2_noterecovery.nc
