,mouse,treatment,rep_index1,rep_index2,I0,Ie,Ig,Ip,xo,dx,s,lambda,w,I0_std,Ie_std,Ig_std,Ip_std,xo_std,dx_std,s_std,lambda_std,w_std
0,504,Enzyme,1,1,3.849322066129816,146.72078237354032,218.3991636551612,178.99682793442423,3.855254141683949,0.1812590922066592,0.1740738166795144,0.4516318104461503,0.506594847236958,0.9258688142593964,7.826241787455574,68.68951909918303,3.940193095964545,0.0624312347014371,0.0505096902316881,0.0355136701904946,0.0293251773824407,0.130517251893481
1,504,Enzyme,4,1,0.2295520342979937,143.58695506141635,175.4433375719135,105.72930082205102,3.5385250886317685,0.1463098323114497,0.1913093924031786,0.6823666806635201,0.6178908532411055,1.465435348816838,11.292764302699805,53.334494797490365,3.4648184053872004,0.0922463568415679,0.0543135374588756,0.055198191702731,0.0542258391389682,0.1713344049991589
2,510,Enzyme,1,1,8.442446549419094,219.16051552299405,219.15158007104557,265.36231198156406,3.184729189399634,0.1795012366384943,0.1727902320541607,0.3929682291919437,0.6110005501620107,1.2579523029006356,9.056886397897442,37.799398942419245,5.756304753401676,0.0371888624295263,0.0303433254625374,0.0237974271018107,0.0252079436560765,0.0819643540280806
3,510,Enzyme,1,2,6.695598299587651,196.6199680398636,247.5001957894833,279.1309609222728,3.2099422505274613,0.2077420073674114,0.1807416200696173,0.3123008659577576,0.5658788000685716,0.9811766528878844,10.06261222916292,53.82884713519175,5.576238314798674,0.0424919460179812,0.0347341425180438,0.0231954171665283,0.0227697217164329,0.0926202984717392
4,512,Saline,2,2,17.843735298426456,417.4798134103538,332.9250317381875,303.86185930471447,4.34795341645025,0.0946427210151188,0.1721699803027345,0.4118806232273317,0.6387052809554941,0.9451236435732568,44.63596956024403,60.77793531778649,4.151493993009826,0.1049885598936772,0.0536316761984134,0.0366831975061632,0.0151209163531457,0.1499378939863036
5,512,Saline,1,1,13.120406754887014,353.7807163251343,310.492758370055,385.25267155468686,4.204651598729994,0.035986906838587,0.1248451952393442,0.4671412291765113,0.766067044661695,0.953258126698274,33.21368085679019,24.77244731101992,8.131416761805546,0.0579739227766568,0.014231685271314,0.0253499889166869,0.0135840335974541,0.0683863542276244
6,513,Saline,1,1,1.4561891889273784,82.88972650727693,130.9601673277571,148.161313915327,3.4503739980433856,0.1515602638319051,0.1270482039924033,0.3294565799040583,0.7193682519525161,0.852293498135801,4.50779490358534,9.199637059774563,3.148798839240588,0.0152509142298241,0.0188520276005642,0.0152151424197975,0.0270891259567852,0.0313410345092913
7,513,Saline,1,2,0.0734537517023137,101.06842425721317,125.3374541599993,141.8307198908469,3.5909935688935675,0.1267757857384111,0.2069739901811145,0.5101291006139381,0.7699554827631605,0.8516482798486289,9.135189121430484,25.28377071474141,3.839092566318657,0.0530477013643236,0.0396501060141805,0.0532168161842349,0.0470651868103443,0.1155876741319067
8,517,Saline,1,13,4.1537510420705495,150.61742280663137,259.75097953704693,118.39074089947832,3.64548188969406,0.1685721345822192,0.1785279344253187,0.3091961607231524,0.8249388284483656,0.7000058632761119,7.777300987201391,16.115037499300193,3.569299030272512,0.025016274795108,0.021470076569533,0.0211348939046351,0.0242781670477596,0.0445187636425143
9,517,Saline,1,7,3.963731601846231,177.93321820939212,263.6090119644917,93.05354157841978,3.3778044982846174,0.265689012128103,0.2077111197560489,0.258655786221133,0.7711710137428713,0.8478489117656548,7.756423839931172,22.82327680219865,3.616674658946272,0.0434843864791465,0.0377803552109452,0.0221478315728731,0.0228039440993636,0.0701461417203283
10,517,Saline,1,16,4.587041315597243,144.77316506542743,183.9272772556425,107.69073508788988,3.697658372209328,0.2339189606327837,0.1594068954222333,0.3059536575517782,0.8409706375473512,0.7410092165758152,5.527648407360039,9.95309105242394,2.981891956446381,0.0229028242204034,0.0211148367527779,0.0146705572864673,0.0181788462087387,0.0353061159902195
11,523,Enzyme,1,1,0.8243892513105596,188.62779919665115,163.40728878251207,167.4387138148834,4.012203326233911,0.0484040708712163,0.099328854055755,0.5683910493726227,0.6486560267791167,0.7868121314196056,11.915327401373272,11.98713988790182,7.432925715103839,0.0396708290698922,0.0144338959138281,0.0253286219728826,0.0242686193888817,0.0509822135714372
12,524,Saline,1,2,13.854675829237568,77.55428549803953,184.6558782153636,245.4077139289618,3.885916858358752,0.0931475914701645,0.1391404275328511,0.2106609679586499,0.7618956023633372,0.9051450761825518,10.8368666426585,16.83091522463179,4.543354796103387,0.0317230155573445,0.0232253911909668,0.026958964819531,0.0252923651653145,0.0534714221087796
13,524,Saline,1,1,15.600458220272923,82.06053020445395,213.4046595259088,271.237349409132,2.7584951094140684,0.0679792146022475,0.151729170074477,0.2307130833406963,0.7426989928010683,1.09326681875097,20.34397659201268,16.794905697327867,5.914796513918466,0.0472553868432428,0.0358067326986056,0.0314461377636939,0.0337985902135335,0.0593398294820251
14,526,Enzyme,1,1,4.9895476968990335,169.36437413375546,201.26267664297995,187.85152447761607,4.316038337471358,0.1002323614751478,0.1667318432113642,0.4855087620704931,0.6540632400503408,0.7765432831937047,11.84711973404773,28.754860930191107,4.066025384543327,0.0490600631055592,0.024482734435675,0.0349289983649646,0.0260429456138291,0.0835456995084141
