mouse_id,capillary_id,treatment,clock_time,time,blood_cell_id,intensity
1,1,control,16:27:50.000,0.0,0,-10.879105734173535
1,1,control,16:27:50.001,0.0011940194019401,0,-27.40130415164782
1,1,control,16:27:50.002,0.0023880388038803,0,-15.939219659322433
1,1,control,16:27:50.003,0.0035820582058205,0,-18.99237993068924
1,1,control,16:27:50.004,0.0047760776077607,0,-7.560323300320221
1,1,control,16:27:50.005,0.0059700970097009,0,2.3574014181393608
1,1,control,16:27:50.007,0.0071641164116411,0,-4.7387648884029545
1,1,control,16:27:50.008,0.0083581358135813,0,-3.848391455231223
1,1,control,16:27:50.009,0.0095521552155215,0,2.028942535101152
1,1,control,16:27:50.010,0.0107461746174617,0,-7.106351874647544
1,1,control,16:27:50.011,0.0119401940194019,0,-8.25387324609386
1,1,control,16:27:50.013,0.0131342134213421,0,14.08677042279983
1,1,control,16:27:50.014,0.0143282328232823,0,5.91596186350084
1,1,control,16:27:50.015,0.0155222522252225,0,-5.765925299534601
1,1,control,16:27:50.016,0.0167162716271627,0,14.04147361249558
1,1,control,16:27:50.017,0.0179102910291029,0,1.8385144919095069
1,1,control,16:27:50.082,0.0823873387338733,1,37.03109131637436
1,1,control,16:27:50.083,0.0835813581358135,1,45.10711104948841
1,1,control,16:27:50.084,0.0847753775377537,1,14.682714125740093
1,1,control,16:27:50.085,0.0859693969396939,1,14.757957980845276
1,1,control,16:27:50.087,0.0871634163416341,1,8.33289745962773
1,1,control,16:27:50.088,0.0883574357435743,1,31.407584881007068
1,1,control,16:27:50.089,0.0895514551455145,1,15.482070101892504
1,1,control,16:27:50.090,0.0907454745474547,1,34.05640057997462
1,1,control,16:27:50.091,0.0919394939493949,1,31.63062143544533
1,1,control,16:27:50.093,0.0931335133513351,1,32.20477551164326
1,1,control,16:27:50.094,0.0943275327532753,1,44.27890343466609
1,1,control,16:27:50.095,0.0955215521552155,1,27.353043671919423
1,1,control,16:27:50.117,0.117013901390139,2,65.22204856148359
1,1,control,16:27:50.118,0.1182079207920792,2,32.80125567654284
1,1,control,16:27:50.119,0.1194019401940194,2,60.88087265762532
1,1,control,16:27:50.120,0.1205959595959595,2,46.96090446174264
1,1,control,16:27:50.121,0.1217899789978997,2,42.54135493794044
1,1,control,16:27:50.122,0.1229839983998399,2,22.122226865330063
1,1,control,16:27:50.124,0.1241780178017801,2,48.70352199035894
1,1,control,16:27:50.125,0.1253720372037203,2,52.28524106334376
1,1,control,16:27:50.126,0.1265660566056605,2,21.86738387425156
1,1,control,16:27:50.127,0.1277600760076007,2,50.44994928776666
1,1,control,16:27:50.128,0.1289540954095409,2,66.53293527763682
1,1,control,16:27:50.130,0.1301481148114811,2,31.11633896030446
1,1,control,16:27:50.131,0.1313421342134213,2,30.700156627852607
1,1,control,16:27:50.132,0.1325361536153615,2,16.78438378025598
1,1,control,16:27:50.133,0.1337301730173017,2,51.8690151569524
1,1,control,16:27:50.134,0.1349241924192419,2,11.954044767753942
1,1,control,16:27:50.149,0.1492524252425242,3,39.50241300984628
1,1,control,16:27:50.150,0.1504464446444644,3,39.09179486199966
1,1,control,16:27:50.151,0.1516404640464046,3,20.181430270688537
1,1,control,16:27:50.152,0.1528344834483448,3,40.27130558368991
1,1,control,16:27:50.154,0.154028502850285,3,71.86140683018456
1,1,control,16:27:50.155,0.1552225222522252,3,64.95171974167313
