,mouse,image,profile,vessel_type,vessel,region_in_vessel,repetition,i_max,fwhm,source_filename,treatment
151,20230510,1.0,15,pa,1.0,2,1,372.2708435058594,0.627663055115551,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,Enzyme
152,20230510,1.0,16,pa,1.0,2,1,405.2666931152344,0.582433190446167,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi2_rep1_PRE.nc,Enzyme
153,20230510,2.0,0,pa,1.0,3,1,253.36666870117188,0.566869436703986,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
154,20230510,2.0,1,pa,1.0,3,1,241.16665649414065,0.558871290403716,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
155,20230510,2.0,2,pa,1.0,3,1,225.8333282470703,0.537676638638648,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
156,20230510,2.0,3,pa,1.0,3,1,267.183349609375,0.5466288899206094,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
157,20230510,2.0,4,pa,1.0,3,1,227.8374938964844,0.6647291713175135,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
158,20230510,2.0,5,pa,1.0,3,1,273.9875183105469,0.594749889757262,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
159,20230510,2.0,6,pa,1.0,3,1,260.995849609375,0.5300658961511071,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
160,20230510,2.0,7,pa,1.0,3,1,255.07083129882807,0.5841986300826625,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
161,20230510,2.0,8,pa,1.0,3,1,248.21665954589844,0.5408787930090396,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
162,20230510,2.0,9,pa,1.0,3,1,250.7083282470703,0.6104307813572273,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
163,20230510,2.0,10,pa,1.0,3,1,280.370849609375,0.576536696253083,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
164,20230510,2.0,11,pa,1.0,3,1,276.9791564941406,0.5877581780975996,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
165,20230510,2.0,12,pa,1.0,3,1,264.245849609375,0.6137815504137808,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
166,20230510,2.0,13,pa,1.0,3,1,275.1583557128906,0.5615755587717587,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
167,20230510,2.0,14,pa,1.0,3,1,283.1583251953125,0.5618495070869713,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
168,20230510,2.0,15,pa,1.0,3,1,274.9916687011719,0.5880523347426068,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
169,20230510,2.0,16,pa,1.0,3,1,263.2291564941406,0.6689258920887505,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi3_rep1_noteendothelial-nucleus_PRE.nc,Enzyme
170,20230510,3.0,0,pa,1.0,4,1,440.29583740234375,0.5633561967051777,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
171,20230510,3.0,1,pa,1.0,4,1,368.4916687011719,0.5633196989553274,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
172,20230510,3.0,2,pa,1.0,4,1,298.91668701171875,0.6277351229695036,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
173,20230510,3.0,3,pa,1.0,4,1,233.50833129882807,0.7160196121007911,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
174,20230510,3.0,4,pa,1.0,4,1,343.1708374023437,0.5285163711068269,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
175,20230510,3.0,5,pa,1.0,4,1,246.47915649414065,0.6117031767029876,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
176,20230510,3.0,6,pa,1.0,4,1,240.89166259765625,0.6002575727029985,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
177,20230510,3.0,7,pa,1.0,4,1,295.6958312988281,0.5322279213492992,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
178,20230510,3.0,8,pa,1.0,4,1,311.6999816894531,0.5094056302512671,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
179,20230510,3.0,9,pa,1.0,4,1,291.38751220703125,0.5895769669143812,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
180,20230510,3.0,10,pa,1.0,4,1,289.60418701171875,0.5774318065757884,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
181,20230510,3.0,11,pa,1.0,4,1,347.2208251953125,0.6058979363398767,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
182,20230510,3.0,12,pa,1.0,4,1,324.2791748046875,0.6113593870919639,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
183,20230510,3.0,13,pa,1.0,4,1,268.9916687011719,0.678653572322599,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
184,20230510,3.0,14,pa,1.0,4,1,271.3458251953125,0.626950545212181,../20230510_Glx_B6_HAse/20230510_mouseb6_vtyppa_loc1_roi4_rep1_PRE.nc,Enzyme
