"",i_max,width,treatment,mouse,vessel_type,vessel,region_in_vessel,profile,repetition,y_bin_width,depth,rbc_flow,source,ln_i_max,ln_width,ln_i_max_stnd
1376,104.04630279541016,0.5615353474969993,E,E-20230510,c,E-20230510-6,1,5,1,0.6999999999999993,85.2,yes,../20230510_mouseb6_vtypc_loc6_roi1_rep1_notedepth85-2_PRE.nc,4.644836019247354,-0.5770805548758569,-0.8438968790725956
1375,73.90113067626953,0.4866700789522085,E,E-20230510,c,E-20230510-6,1,4,1,0.6000000000000005,85.2,yes,../20230510_mouseb6_vtypc_loc6_roi1_rep1_notedepth85-2_PRE.nc,4.302728127921949,-0.7201688414268115,-1.424234662961886
1374,86.24369812011719,0.5161586321242648,E,E-20230510,c,E-20230510-6,1,3,1,0.5999999999999996,85.2,yes,../20230510_mouseb6_vtypc_loc6_roi1_rep1_notedepth85-2_PRE.nc,4.457176987968069,-0.6613411341490354,-1.1622339566462982
1373,68.23633575439453,0.4871118650084671,E,E-20230510,c,E-20230510-6,1,2,1,0.6000000000000005,85.2,yes,../20230510_mouseb6_vtypc_loc6_roi1_rep1_notedepth85-2_PRE.nc,4.222977205293806,-0.7192614800009627,-1.5595208544666581
1564,39.36687850952149,0.5242892275231785,E,E-20230523,c,E-20230523-1,1,0,1,0.5,,yes,../20230523_mouseb6_vtypc_loc1_roi1_rep1_PRE.nc,3.672924815795618,-0.6457117860133978,-2.4926071492833906
1565,46.2277946472168,0.4713189638925872,E,E-20230523,c,E-20230523-1,1,1,1,0.7999999999999998,,yes,../20230523_mouseb6_vtypc_loc1_roi1_rep1_PRE.nc,3.833581232930117,-0.7522202084492937,-2.2200761979328827
1566,41.00104522705078,0.5858607186699807,E,E-20230523,c,E-20230523-1,1,2,1,0.5,,yes,../20230523_mouseb6_vtypc_loc1_roi1_rep1_PRE.nc,3.71359755972206,-0.5346731991063819,-2.4236115760344927
1567,70.48565673828125,0.4894547004063554,E,E-20230523,c,E-20230523-2,1,0,1,0.6999999999999997,18.2,no,../20230523_mouseb6_vtypc_loc2_roi1_rep1_notedepth-18-2_PRE.nc,4.255409238598525,-0.7144633638754015,-1.5045044844491022
1568,64.55650329589844,0.668942937231904,E,E-20230523,c,E-20230523-2,1,1,1,1.5,18.2,no,../20230523_mouseb6_vtypc_loc2_roi1_rep1_notedepth-18-2_PRE.nc,4.167540860411517,-0.40205651810926946,-1.6535607943559987
1569,88.7113265991211,0.593827743261734,E,E-20230523,c,E-20230523-2,1,2,1,0.7000000000000002,18.2,no,../20230523_mouseb6_vtypc_loc2_roi1_rep1_notedepth-18-2_PRE.nc,4.485387576756393,-0.5211659961848959,-1.1143786718231372
1570,79.7108154296875,0.7277080976056407,E,E-20230523,c,E-20230523-2,1,3,1,1.1999999999999993,18.2,no,../20230523_mouseb6_vtypc_loc2_roi1_rep1_notedepth-18-2_PRE.nc,4.378405278342186,-0.31785527602075864,-1.2958590514090886
1571,76.79887390136719,0.5736296506989564,E,E-20230523,c,E-20230523-2,1,4,1,0.8000000000000007,18.2,no,../20230523_mouseb6_vtypc_loc2_roi1_rep1_notedepth-18-2_PRE.nc,4.341189977303513,-0.5557712987402645,-1.3589895604654063
