lectin,mouse,vessel_type,contour_in_vessel_type,ln_y_std_mean,size
wga,20230216,av,1,-2.181025555997035,238
wga,20230216,av,2,-2.1070198029628613,93
wga,20230216,av,3,-2.0290530796891906,34
wga,20230216,av,4,-2.233198475254331,208
wga,20230216,av,5,-2.166372707610053,424
wga,20230216,av,6,-2.1360187542262072,59
wga,20230216,av,7,-2.1095198389273886,37
wga,20230216,av,8,-2.104525231986184,550
wga,20230216,av,9,-2.1944322704160943,51
wga,20230216,av,10,-2.096095949282562,86
wga,20230216,av,11,-1.9880268275004616,320
wga,20230216,av,12,-1.9164215924006236,76
wga,20230216,av,13,-2.0305881095693206,39
wga,20230216,av,14,-2.0182691359484197,110
wga,20230216,av,15,-2.0027030631179907,450
wga,20230216,av,16,-2.062570960758952,155
wga,20230216,av,17,-2.0378855696397014,139
wga,20230216,av,18,-2.156403002175337,227
wga,20230216,av,19,-1.992316888087607,64
wga,20230216,av,20,-2.1232144782712856,43
wga,20230216,av,21,-2.0927662493913277,247
wga,20230216,av,22,-1.9960852885795812,51
wga,20230216,av,23,-1.9387244784482975,28
wga,20230216,av,24,-1.9225775635758202,27
wga,20230216,av,25,-1.9242088474428907,248
wga,20230216,bp_a,0,-1.3333674557915542,116
wga,20230216,bp_a,1,-1.1710617111194161,780
wga,20230216,bp_a,2,-0.8639325341584853,338
wga,20230216,bp_v,0,-2.185688141274315,272
wga,20230216,bp_v,1,-2.053886620251951,45
wga,20230216,bp_v,2,-2.004040890439765,68
wga,20230216,bp_v,3,-2.1628932332570736,117
wga,20230216,bp_v,4,-2.006394856640751,75
wga,20230216,bp_v,5,-1.9274694554024665,415
wga,20230216,bp_v,6,-1.9559533105981322,221
wga,20230216,bp_v,7,-1.8925798466421517,172
wga,20230216,bp_v,8,-1.8396164691416852,23
wga,20230216,bp_v,9,-1.8470977731105478,262
wga,20230216,pa,0,-1.2358190533383624,388
wga,20230216,pa,1,-1.343004076052231,548
wga,20230216,pa,2,-1.3699339595890234,25
wga,20230216,pa,3,-1.4001100588850701,464
wga,20230216,pa,4,-1.3265876370274003,120
wga,20230216,pa,5,-1.1936405436035766,852
wga,20230216,pa,6,-1.2677183738995437,523
wga,20230216,pa,7,-1.1966031554102479,69
wga,20230216,pe,0,-1.327141189653927,177
wga,20230216,pe,1,-1.379944842036483,33
wga,20230216,pe,2,-1.2740120950469895,379
wga,20230216,pe,3,-1.322284170720327,28
wga,20230216,pv,0,-2.016740590482727,225
wga,20230216,pv,1,-2.030020907407122,425
wga,20230216,pv,2,-1.8948177849529786,158
wga,20230216,pv,3,-2.071881647151088,106
wga,20230216,pv,4,-2.076506540433957,43
wga,20230216,pv,5,-2.094561447017873,244
wga,20230216,pv,6,-2.0159694523435707,642
wga,20230216,pv,7,-2.1890939894520716,71
wga,20230216,pv,8,-2.0547520639598753,725
wga,20230216,pv,9,-2.1110452610912236,17
wga,20230216,pv,10,-1.8827020453831425,199
wga,20230216,pv,11,-1.9866692137735529,121
wga,20230216,pv,12,-2.029056269093555,435
wga,20230216,pv,13,-1.9046099977383766,197
wga,20230216,pv,14,-2.038434504494202,346
wga,20230216,pv,15,-2.1164462844012855,77
wga,20230512,bp_a,0,-1.343476038427325,36
wga,20230512,bp_a,1,-1.3150175420599022,756
wga,20230512,bp_a,2,-1.3458068092581612,1311
wga,20230512,bp_a,3,-1.5295526264058612,1604
wga,20230512,bp_a,4,-1.093605788639047,105
wga,20230512,bp_a,5,-1.1500426791523668,48
wga,20230512,bp_a,6,-1.5262975818675972,31
wga,20230512,bp_a,7,-1.5315153220346531,819
wga,20230512,bp_a,8,-1.3562815350540376,774
wga,20230512,bp_a,9,-1.4045652027680915,460
wga,20230512,bp_a,10,-0.8784031395396033,58
wga,20230512,bp_a,11,-1.0878176572699543,204
wga,20230512,bp_a,12,-1.4518335059102567,345
wga,20230512,bp_a,13,-1.4716046829483815,326
wga,20230512,bp_a,14,-1.3234100157185695,339
wga,20230512,bp_a,15,-1.4273714423392845,56
wga,20230512,pa,0,-1.4161202914653932,24
wga,20230512,pa,1,-1.380597051097572,122
wga,20230512,pa,2,-1.4950560574571263,87
wga,20230512,pa,3,-1.5394824985523299,774
wga,20230512,pa,4,-1.4175462188784809,83
wga,20230512,pa,5,-1.3895939506934705,784
wga,20230512,pa,6,-0.9705285918918478,332
wga,20230512,pa,7,-1.30630810828128,264
wga,20230512,pa,8,-1.5023136398478647,102
wga,20230512,pa,9,-1.5352476701522373,70
wga,20230512,pa,10,-1.5007426839190745,13
wga,20230512,pa,11,-1.401343587117173,553
wga,20230512,pa,12,-1.368635621033725,247
wga,20230512,pa,13,-1.5222571305617139,217
wga,20230512,pa,14,-1.352779869281575,143
wga,20230512,pa,15,-1.312934654829626,49
wga,20230512,pa,16,-1.2305472299394282,1245
wga,20230512,pa,17,-1.4604928675559483,29
wga,20230512,pa,18,-1.2930189555175815,137
wga,20230512,pea,0,-1.604835982123719,19
wga,20230512,pea,1,-1.5376292536154954,195
wga,20230512,pea,2,-1.5087225952491852,343
wga,20230512,pea,3,-1.616796273299447,84
wga,20230512,pea,4,-1.3458358256347684,71
wga,20230512,pea,5,-1.2389549823953765,456
wga,20230512,pea,6,-1.3956437744671046,243
